name,base,seq,system,sub,rateType,image,flags,heldOrDup,file
Ajna Phys. Etheric Body,9,3 3 7 8 9,Combe,Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - AJNA - Base 9 (336)\Ajna Phys.Etheric Body - Chakra - Base 9 (336).afdesign
Ajna Chakra,9,9 2 9 4 9 6,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - AJNA - Base 9 (336)\CHAKRA- AJNA CHAKRA - SB - CHAKRA - QRP - Base 9 (336).afdesign
Ajna Chakra Astral Body,9,4 5 9 7 1 8,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - AJNA - Base 9 (336)\CHAKRA- AJNA CHAKRA ASTRAL BODY - SB - CHAKRA - QRP - Base 9 (336) copy.afdesign
Ajna Phys. Etheric Body,9,4 6 7 1 4 4,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - AJNA - Base 9 (336)\CHAKRA- AJNA PHYS.ETHERIC BODY - SB - CHAKRA - QRP - Base 9 (336) copy 3.afdesign
Ajna,44,5 25 33 44 44,Combe,Chakra,Base 44 Rate (Combe),embedded-preview+sym,multi-rate(2),,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Base 44\Ajna - Chakra - Base 44.afdesign
Ajna Chakra Astral Body,44,2 4 5 8 10,Combe,Chakra,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Base 44\Ajna Chakra Astral Body - Chakra - Base 44.afdesign
Base,44,6 32 33 44 44,Combe,Chakra,Base 44 Rate (Combe),embedded-preview+sym,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Base 44\Base  - Chakra - Base 44.afdesign
Crown,44,6 22 33 44 44,Combe,Chakra,Base 44 Rate (Combe),embedded-preview+sym,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Base 44\Crown - Chakra - Base 44.afdesign
Heart,44,5 29 33 44 44,Combe,Chakra,Base 44 Rate (Combe),embedded-preview+sym,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Base 44\Heart  - Chakra - Base 44.afdesign
Sacral,44,6 31 33 44 44,Combe,Chakra,Base 44 Rate (Combe),embedded-preview+sym,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Base 44\Sacral - Chakra - Base 44.afdesign
Solar Plexus,44,6 31 33 44 44,Combe,Chakra,Base 44 Rate (Combe),embedded-preview+sym,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Base 44\Solar Plexus  - Chakra - Base 44.afdesign
Throat,44,6 28 33 44 44,Combe,Chakra,Base 44 Rate (Combe),embedded-preview+sym,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Base 44\Throat  - Chakra - Base 44.afdesign
Chakra Health,9,4 6 7 9 8,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA HEALTH - SB - QRP - Base 9 (336) copy 8.afdesign
Chakra Substance,9,5 8 2 7 4,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA SUBSTANCE - SB - QRP - Base 9 (336).afdesign
Alta Major Chakra,9,9 9 1 4 9 5,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- ALTA MAJOR CHAKRA - SB - CHAKRA - QRP - Base 9 (336) copy 2.afdesign
Base Chakra,9,9 8 9 4 9 3,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- BASE CHAKRA - SB - CHAKRA - QRP - Base 9 (336) copy 4.afdesign
Base Chakra Astral Body,9,3 5 6 2 5 5,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- BASE CHAKRA ASTRAL BODY - SB - CHAKRA - QRP - Base 9 (336) copy 5.afdesign
Base Chakra Mental Body,9,4 4 5 8 6 9,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- BASE CHAKRA MENTAL BODY - SB - CHAKRA - QRP - Base 9 (336) copy 2.afdesign
Base Chakra P. Ether Body,9,4 8 4 7 5 1,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- BASE CHAKRA P.ETHER BODY - SB - CHAKRA - QRP - Base 9 (336) copy.afdesign
Connected Spleen,9,1 3 5 4 9 4,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- CONNECTED SPLEEN - SB - CHAKRA - QRP - Base 9 (336) copy 5.afdesign
Connected Vagus Nerve,9,7 7 8 4 9 8,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- CONNECTED VAGUS NERVE - SB - CHAKRA - QRP - Base 9 (336) copy 3.afdesign
Coordination All Chakras,9,5 8 2 7 8 9 3,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- COORDINATION ALL CHAKRAS - SB - CHAKRA - QRP - Base 9 (336) copy 4.afdesign
Crown Astral Body,9,5 6 9 3 9 5,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- CROWN ASTRAL BODY - SB - CHAKRA - QRP - Base 9 (336).afdesign
Crown Chakra,9,9 9 9 4 9 4,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- CROWN CHAKRA - SB - CHAKRA - QRP - Base 9 (336) copy.afdesign
Crown Mental Body,9,3 5 8 2 8 8,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- CROWN MENTAL BODY - SB - CHAKRA - QRP - Base 9 (336) copy 5.afdesign
Crown Phys. Etheric Body,9,4 4 7 1 9 7,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- CROWN PHYS.ETHERIC BODY - SB - CHAKRA - QRP - Base 9 (336) copy 2.afdesign
Heart Astral Body,9,4 4 3 7 6 6,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- HEART ASTRAL BODY - SB - CHAKRA - QRP - Base 9 (336) copy 3.afdesign
Heart Chakra,9,9 1 9 4 9 5,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- HEART CHAKRA - SB - CHAKRA - QRP - Base 9 (336) copy 4.afdesign
Heart Mental Body,9,4 5 9 8 2 1,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- HEART MENTAL BODY - SB - CHAKRA - QRP - Base 9 (336) copy.afdesign
Heart Phys. Etheric Body,9,4 7 1 4 8 6,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- HEART PHYS.ETHERIC BODY - SB - CHAKRA - QRP - Base 9 (336) copy 3.afdesign
Infra Thyroid,9,6 2 3 4 9 6,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- INFRA THYROID - SB - CHAKRA - QRP - Base 9 (336) copy 2.afdesign
Integrity Major Minor Ck,9,4 5 9 9 9 5 5,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- INTEGRITY MAJOR MINOR CK - SB - CHAKRA - QRP - Base 9 (336) copy 4.afdesign
Lalana Chakra,9,4 5 6 8 3 8,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- LALANA CHAKRA - SB - CHAKRA - QRP - Base 9 (336).afdesign
Left Ankle,9,6 9 1 2 5 5,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- LEFT ANKLE - SB - CHAKRA - QRP - Base 9 (336) copy 5.afdesign
Left Breast,9,1 1 6 4 9 3,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- LEFT BREAST - SB - CHAKRA - QRP - Base 9 (336).afdesign
Left Eye,9,8 9 1 4 9 4,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- LEFT EYE CHAKRA- LEFT BREAST - SB - CHAKRA - QRP - Base 9 (336).afdesign
Left Knee,9,3 6 9 4 6 1 2,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- LEFT KNEE - SB - CHAKRA - QRP - Base 9 (336) copy.afdesign
Left Mandibular,9,8 2 8 4 9 4,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- LEFT MANDIBULAR - SB - CHAKRA - QRP - Base 9 (336) copy 2.afdesign
Left Ovary or Gonad,9,8 2 7 4 9 3,Combe,Subtle Body / Chakra,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Body & Other\CHAKRA- LEFT OVARY OR GONAD - SB - CHAKRA - QRP - Base 9 (336) copy 2.afdesign
,9,,Sulis,Subtle Body,Base 9 Rate (336 - Sulis),,blank-template,blank-template,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Sulis - Base 9 (336)\- Chakra - Subtle Body - Base 9 (336) SULIS .afdesign
Ajna (Brow) Chakra,9,8 7 1 6 5 3,Sulis,Subtle Body,Base 9 Rate (336 - Sulis),embedded-preview+sym,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Sulis - Base 9 (336)\Ajna (Brow) Chakra - SOUL - Subtle Body - Base 9 (336) SULIS.afdesign
Altar Major Chakra,9,2 2 6 1 8 8,Sulis,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview+sym,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Sulis - Base 9 (336)\Altar Major Chakra - ETHER - Subtle Body  - Base 9 (336) SULIS.afdesign
Base of Spine Chakra,9,4 2 1 6 5,Sulis,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview+sym,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Sulis - Base 9 (336)\Base Of Spine Chakra - EARTH - Subtle Body  - Base 9 (336) SULIS.afdesign
Crown Chakra,9,5 5 2 3 8 9,Sulis,Subtle Body,Base 9 Rate (336 - Sulis),embedded-preview+sym,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Sulis - Base 9 (336)\Crown Chakra - SPIRIT - Subtle Body  - Base 9 (336) SULIS .afdesign
Heart Chakra,9,6 9 9 2 3 5,Sulis,Subtle Body,Base 9 Rate (336 - Sulis),embedded-preview+sym,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Sulis - Base 9 (336)\Heart Chakra - AIR - Subtle Body  - Base 9 (336) SULIS.afdesign
Sacral Chakra,9,4 7 1 1 3 1,Sulis,Subtle Body,Base 9 Rate (336 - Sulis),embedded-preview+sym,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Sulis - Base 9 (336)\Sacral Chakra - Water - Subtle Body  - Base 9 (336) SULIS .afdesign
Solar Plexus Chakra,9,9 1 6 6 5,Sulis,Subtle Body,Base 9 Rate (336 - Sulis),embedded-preview+sym,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Sulis - Base 9 (336)\Solar Plexus Chakra- FIRE - Subtle Body  - Base 9 (336) SULIS.afdesign
Spleen Chakra,9,2 3 7 4 2 2,Sulis,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Sulis - Base 9 (336)\Spleen Chakra- Earth - Subtle Body  - Base 9 (336) SULIS .afdesign
Throat Chakra,9,8 4 6 5 8 2,Sulis,Subtle Body,Base 9 Rate (336 - Sulis),embedded-preview+sym,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Chakra - Sulis - Base 9 (336)\Throat Chakra- ETHER - Subtle Body  - Base 9 (336) SULIS .afdesign
Soul Cleansing,9,9 1 3 4 8,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Soham Chakra\SOHAM - SOUL CLEANSING - SOHAM - CHAKRA - QRP - Base 9 (336) copy 4.afdesign
Tension 10mm,9,8 1 3 7 1,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Soham Chakra\SOHAM 39- TENSION 10MM - SOHAM- SB - CHAKRA - QRP - Base 9 (336) copy 4.afdesign
Stabilising,9,4 3 4 3 5,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Soham Chakra\SOHAM 4- STABILISING - SOHAM - CHAKRA - QRP - Base 9 (336) copy 4.afdesign
Uplift 200,9,8 9 8 9 7,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Soham Chakra\SOHAM 41- UPLIFT 200 - SOHAM- SB - CHAKRA - QRP - Base 9 (336) copy 4.afdesign
Peace & Love Alignment,9,8 7 8 7 3,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Soham Chakra\SOHAM 5- PEACE & LOVE ALIGNMENT  SOHAM- SB - CHAKRA - QRP - Base 9 (336) copy 4.afdesign
Stress,9,7 3 2 6 9,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Soham Chakra\SOHAM 6- STRESS - SOHAM - CHAKRA - QRP - Base 9 (336) copy 4.afdesign
Meditation,9,9 4 6 6 7,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Soham Chakra\SOHAM 7- MEDITATION - SOHAM - CHAKRA - QRP - Base 9 (336) copy 4.afdesign
Lack of Confidence,9,7 9 9 2 9,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Chakra\Soham Chakra\SOHAM 9- LACK OF CONFIDENCE  - SOHAM- SB - CHAKRA - QRP - Base 9 (336) copy 4.afdesign
Spiritual Upliftment,9,2 6 2 3 4,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM - SPIRITUAL UPLIFTMENT - SOHAM- SB - CHAKRA - QRP - Base 9 (336) copy 4.afdesign
Removal All Entities,9,9 9 3 5 8,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM  REMOVAL ALL ENTITIES- SOHAM - CHAKRA - QRP - Base 9 (336) copy 4.afdesign
