name,base,seq,system,sub,rateType,image,flags,heldOrDup,file
Intense White Light,9,5 7 9 9 3,Combe,,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\INTENSE WHITE LIGHT - Spirit - Base 9 (336).afdesign
Light,9,5 8 9 4,Combe,SUBTLE BODY,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\LIGHT - SB - QRP - Base 9 (336).afdesign
Lotus of Soul,9,3 5 9 9 8,Combe,SUBTLE BODY,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\LOTUS OF SOUL - SB - QRP - Base 9 (336).afdesign
Lotus of Soul,44,3 5 9 9 8,Combe,Soul/Uplift,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\LOTUS OF SOUL - Soul Uplift - B9.afdesign
Repair Damage Aura,9,3 7 9 3 6 1,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\REPAIR DAMAGE AURA - SB- QRP - Base 9 (336).afdesign
Reveal,9,4 6 7 7 8 5,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\REVEAL- SB - QRP - Base 9 (336).afdesign
Reverse,9,7 4 6 8 7,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\REVERSE - SB - QRP - Base 9 (336) copy 6.afdesign
Strengthen Aura,9,7 5 2 8 4 8,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\STRENGTHEN AURA - SB  - QRP - Base 9 (336).afdesign
Strength,9,1 8 3 2 9 5,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\SUBTLE BODY -  STRENGTH - QRP - Base 9 (336) 2.afdesign
Peace,9,7 3 7 1 9,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\SUBTLE BODY- PEACE - QRP - Base 9 (336) 2.afdesign
Stability,9,5 7 2 1 5 2,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\SUBTLE BODY- STABILITY - QRP - Base 9 (336) 2.afdesign
Stabilize,9,5 5 5 8 5,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\SUBTLE BODY- STABILIZE - QRP - Base 9 (336) 2.afdesign
Tranquility,9,3 9 4 5 3,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\Subtle Body- TRANQUILITY - QRP - Base 9 (336) 2.afdesign
Water Pure,9,3 9 4 4 9 2,Combe,Subtle body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\All subtle to sort\WATER PURE - SB - QRP - Base 9 (336) copy 2.afdesign
Action,9,8 9 2 3 4,Combe,Subtle Body / AM4,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Alta Major\ACTION- SB AM- QRP - Base 9 (336).afdesign
Astral Interference,9,2 4 2 8,Combe,Subtle Body / Astral,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Astral\ASTRAL INTERFERENCE  - SB - QRP - Base 9 (336).afdesign
Astral Interference,9,2 4 2 8,Combe,Subtle Body / Astral,Base 9 Rate (336 - Combe),,,duplicate,Affinity\Subtle Bodies\Subtle Body  Astral\ASTRAL INTERFERENCE - SB - QRP - Base 9 (336).afdesign
Astral Vision Faculty of,9,2 9 7 9 3 8 2,Combe,Subtle Body / Astral,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Astral\ASTRAL VISION FACULTY OF  - SB - QRP - Base 9 (336).afdesign
Arogyavardhani,9,9 9 9 9,Combe,Subtle Body / Ayur 1,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Ayurvedic\AROGYAVARDHANI - AYUR - QRP - Base 9 (336) copy.afdesign
Sattva,9,6 7 1 9 1 6,Combe,Subtle Body / Ayur,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Ayurvedic\AYURVEDIC  SATTVA - AYUR - QRP - Base 9 (336) copy.afdesign
Rajas,9,4 6 1 9 1 3,Combe,Subtle Body / Ayur,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Ayurvedic\AYURVEDIC RAJAS- - AYUR - QRP - Base 9 (336) copy.afdesign
Tamas,9,4 5 7 9 2 9,Combe,Subtle Body / Ayur,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Ayurvedic\AYURVEDIC-TAMAS  - AYUR - QRP - Base 9 (336) copy.afdesign
Find & Rectify All Disharmony,9,4 1 4 6 8 5,Combe,Command,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Command\FIND & RECTIFY ALL DISHARMONY - QRP - Base 9 (336).afdesign
Find and Rectify All Defects,9,4 7 2 5 6 6,Combe,Command,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Command\FIND AND RECTIFY ALL DEFECTS - - QRP - Base 9 (336).afdesign
Balance & Optimal. Astral Body,9,5 6 9 1 2 5 1,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Command  Balance\BALANCE & OPTIMAL. ASTRAL BODY -SB- QRP - Base 9 (336).afdesign
Balance & Optimal. Etheric Body,9,5 6 7 1 9 2 3,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Command  Balance\BALANCE & OPTIMAL. ETHERIC BODY - SB - QRP - Base 9 (336).afdesign
Balance & Optimal. Mental Body,9,5 5 6 8 4 7 8,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Command  Balance\BALANCE & OPTIMAL.MENTAL BODY  - SB - QRP - Base 9 (336).afdesign
Removal All Entities,44,9 20 23 35,Combe,Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Command  Remove\REMOVAL ALL ENTETIES - SOHAM - Base 9 (336).afdesign
Removal All Entities,9,9 9 3 5 8,Combe,Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Command  Remove\REMOVAL ALL ENTITIES - SOHAM - Base 9 (336).afdesign
Remove Detrimental Effect Trauma,9,6 8 8 2 4 1,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Command  Remove\REMOVE DETRIMENTAL EFFECT TRAUMA - SB- QRP - Base 9 (336).afdesign
Remove Negative Energies,9,5 5 8 2 8 1,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Command  Remove\REMOVE NEGATIVE ENERGIES - SB- QRP - Base 9 (336).afdesign
Divine Love,44,7 9 18 23 26 29,Combe,Subtle Body / Uplift,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Divine\DIVINE LOVE - BC - Base 44 .afdesign
Divine Love,9,1 9 9 5 6 9 3,Combe,Uplift,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Divine\DIVINE LOVE - UPLIFT - Base 9 (336).afdesign
Divine Strength,44,6 11 11 13 14 14,Combe,Subtle Body / Uplift,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Divine\DIVINE STRENGTH - BC - Base 44 .afdesign
Divine Strength,9,7 3 7 6 1 7 4,Combe,Subtle Body / Uplift,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Divine\DIVINE STRENGTH - UPLIFT - Base 9 (336).afdesign
Divine Trinity,44,3 6 7 11 13 16 18,Combe,Subtle Body / Uplift,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Divine\DIVINE TRINITY - BC - Base 44 .afdesign
Divine Trinity,9,5 8 9 3 5 7 7 8,Combe,Subtle Body / Uplift,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Divine\DIVINE TRINITY - UPLIFT - Base 9 (336).afdesign
Divine Wisdom,44,,Combe,Subtle Body / Uplift,Base 44 Rate (Combe),,no-rate,no-rate,Affinity\Subtle Bodies\Subtle Body  Divine\DIVINE WISDOM - BC - Base 44 .afdesign
Divine Wisdom,9,5 7 8 4 7 2 6,Combe,Subtle Body / Uplift,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Divine\DIVINE WISDOM - UPLIFT - Base 9 (336).afdesign
Fear of Death,9,2 6 9 4 6 9,Combe,Emotions / Fear,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Fear\FEAR OF DEATH - 2 6 9 4 6 9 - QIP - Base 9 (336).afdesign
Fear of Death,44,1 1 2 8 8,Combe,EMOTIONS/FEAR,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Fear\FEAR OF DEATH - QIP - Base 10 .afdesign
Fear of Death,44,1 4 9 32 33,Combe,Emotions / Fear,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Fear\FEAR OF DEATH  EMOTIONS- QIP - Base 44 .afdesign
Fear of Dying,44,1 2 2 8 8,Combe,Emotions / Fear,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Fear\FEAR OF DYING - QIP - Base 10 .afdesign
Fear of Dying,44,1 5 9 32 33,Combe,Emotions / Fear,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Fear\FEAR OF DYING - QIP - Base 44 .afdesign
Fear of Dying,9,2 2 9 4 6 5,Combe,Emotions / Fear,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Fear\FEAR OF DYING - QIP - Base 9 (336).afdesign
Fear of Failure,9,4 7 1 3 5 2,Combe,Emotions / Fear,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Fear\FEAR OF FAILURE- EMOTIONSFEER - QRP - Base 9 (336).afdesign
Life Energy,9,1 6 9 5 1 4,Combe,Subtle Body / Uplift,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Life\LIFE ENERGY -  UPLIFT QRP - Base 9 (336).afdesign
Life Force Energy Fields,9,2 6 9 9 9 8,Combe,Subtle Body / Uplift,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Life\LIFE FORCE ENERGY FIELDS - SB- QRP - Base 9 (336).afdesign
Life Force Energy Flow,9,2 6 4 2 9 5,Combe,Subtle Body / Uplift,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Life\LIFE FORCE ENERGY FLOW - SB - QRP - Base 9 (336).afdesign
Life Force Polarity,9,9 4 4 9 8,Combe,Subtle Body / Uplift,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Life\LIFE FORCE POLARITY  - SB - QRP - Base 9 (336).afdesign
Love Flow of,9,5 8 2 5 2,Combe,Love,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Love\Love  FLOW OF - Love - Base 9 (336).afdesign
Love,44,2 3 44,Combe,Subtle Body / Command,Base 44 Rate (Combe),jpg-twin,,,Affinity\Subtle Bodies\Subtle Body  Love\LOVE - Command  - B44 .afdesign
Love,9,3 8 9 2,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Love\Love - Love - Base 9 (336).afdesign
Love,9,3 8 9 2,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Love\LOVE - SB - QRP - Base 9 (336).afdesign
Love,9,1 2 1 2 6,Combe,Subtle Body / AM2,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Love\LOVE - SB AM- QRP - Base 9 (336).afdesign
Love Flow of,9,5 8 2 5 2,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Love\LOVE FLOW OF  - SB - QRP - Base 9 (336).afdesign
Love Rejection of,44,9 13 17 20,Combe,Subtle Body,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Love\LOVE REJECTION OF - LOVE - Base 44 .afdesign
Love Rejection of,9,1 5 6 2 5,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Love\LOVE REJECTION OF - Love - Base 9 (336).afdesign
Love Rejection of,9,1 5 6 2 5,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Love\LOVE REJECTION OF - SB - QRP - Base 9 (336).afdesign
Lovelessness,44,14 33 33 34 44,Combe,Subtle Body,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Love\LOVELESSNESS - LOVE - Base 44 .afdesign
Lovelessness,9,4 3 7 5 3 4,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Love\LOVELESSNESS - Love - Base 9 (336).afdesign
Lovelessness,9,4 3 7 5 3 4,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Love\LOVELESSNESS - SB - QRP - Base 9 (336).afdesign
Peace & Love Alignment,44,8 18 28 38,Combe,Subtle Body / Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Peace\PEACE & LOVE ALIGNMEN - SOHAM - Base 44  .afdesign
Peace & Love Alignment,9,8 7 8 7 3,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Peace\PEACE & LOVE ALIGNMENT - SOHAM - Base 9 (336) copy.afdesign
Peace & Love Alignment,9,8 7 8 7 3,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),,,duplicate,Affinity\Subtle Bodies\Subtle Body  Peace\PEACE & LOVE ALIGNMENT - SOHAM - Base 9 (336).afdesign
Receive Life Happiness,9,6 8 9 4 5 5,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Recieve\RECEIVE LIFE HAPPINESS - SB- QRP - Base 9 (336).afdesign
Receive Life Joy,9,4 4 5 8 1 4,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Recieve\RECEIVE LIFE JOY - SB- QRP - Base 9 (336).afdesign
Receive Life Light,9,4 4 7 8 1 6,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Recieve\RECEIVE LIFE LIGHT - SB- QRP - Base 9 (336).afdesign
Receive Life Love,9,3 5 7 8 9 5,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Recieve\RECEIVE LIFE LOVE - SB- QRP - Base 9 (336).afdesign
Receive Life Power,9,3 6 3 6 7 7,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Recieve\RECEIVE LIFE POWER- SB- QRP - Base 9 (336).afdesign
Receive Life Purity,9,4 9 4 6 7 3,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Recieve\RECEIVE LIFE PURITY - SB- QRP - Base 9 (336).afdesign
Receive Life Radiant Strength,9,3 6 1 5 6,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Recieve\RECEIVE LIFE RADIANT STRENGTH - SB- QRP - Base 9 (336).afdesign
Receive Living Happiness,9,3 5 7 1 1 8,Combe,Subtle Body,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Recieve\RECEIVE LIVING HAPPINESS - SB- QRP - Base 9 (336).afdesign
Hyperacidity,44,23 25 28 36 37,Combe,Subtle Body / Septinate 87,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Septinate\HYPERACIDITY - Septinate 87 - Base 44.afdesign
Inspiration,9,5 6 8 9 9 1,Combe,,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\Inspiration - Awakening - Base 9 (336).afdesign
Brain & Paralysis 50m,9,9 3 7 2 3,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   BRAIN & PARALYSIS 50M - SOHAM - Base 9 (336).afdesign
Brain & Paralysis 50m,44,19 22 29 31,Combe,SUBTLE BODY / SOHAM,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   BRAIN & PARALYSIS 50M - SOHAM.afdesign
Cancer 3x,44,1 12 16 25,Combe,SUBTLE BODY / SOHAM,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   CANCER 3X - SOHAM - Base 44  .afdesign
Cancer 3x,9,3 4 1 5 4,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   CANCER 3X - SOHAM - Base 9 (336).afdesign
Chemical Poison 200,44,1 3 8 10,Combe,Subtle Body / Soham,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   CHEMICAL POISON 200 - SOHAM - Base 9 (336) copy.afdesign
Chemical Poison 200,9,4 7 9 1 3,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   CHEMICAL POISON 200 - SOHAM - Base 9 (336).afdesign
Circulation 3x,44,7 12 37 40,Combe,SUBTLE BODY / SOHAM,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   CIRCULATION 3X - SOHAM - Base 44  .afdesign
Circulation 3x,9,9 8 8 9 7,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   CIRCULATION 3X - SOHAM - Base 9 (336).afdesign
Diabetes 30,9,9 5 9 5 1,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   DIABETES 30 - SOHAM - Base 9 (336).afdesign
Digestion 30,9,4 2 8 9 5,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   DIGESTION 30 - SOHAM - Base 9 (336).afdesign
Divine Protection,9,9 3 1 9 4,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   DIVINE PROTECTION - SOHAM - Base 9 (336).afdesign
Divine Protection,44,7 28 34 44,Combe,SUBTLE BODY / SOHAM,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   DIVINE PROTECTION- SOHAM - Base 44  copy 10.afdesign
Ears 30,9,4 7 3 6 2,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   EARS 30 - SOHAM - Base 9 (336).afdesign
Eyes 30,9,1 8 4 1 5,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   EYES 30 - SOHAM - Base 9 (336).afdesign
Female 30,9,9 6 5 2 4,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   FEMALE 30 - SOHAM - Base 9 (336).afdesign
Flu 30,9,5 4 4 9 4,Combe,SUBTLE BODY / SOHAM,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   FLU 30 - SOHAM - Base 9 (336).afdesign
Soham 22,44,4 11 12 19,Combe,SUBTLE BODY / SOHAM,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   Flu 30 - SOHAM 22 - Base 44 .afdesign
Soham 22,9,5 4 4 9 4,Combe,SUBTLE BODY / SOHAM,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   Flu 30 - SOHAM 22 - Base 9.afdesign
Gastro 30,9,3 4 8 9 6,Combe,SUBTLE BODY / SOHAM,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   GASTRO 30 - SOHAM - Base 9 (336).afdesign
Glandular 30,9,9 3 5 8 7,Combe,SUBTLE BODY / SOHAM,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   GLANDULAR 30 - SOHAM - Base 9 (336).afdesign
Hair 200,9,8 1 3 5 8,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   HAIR 200 - SOHAM - Base 9 (336).afdesign
Immunity 200,9,9 9 1 1 2,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   IMMUNITY 200 - SOHAM - Base 9 (336).afdesign
Infection 200,9,4 8 9 9 3,Combe,SUBTLE BODY / SOHAM,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   INFECTION 200 - SOHAM - Base 9 (336).afdesign
Injury 30,9,8 3 5 8 6,Combe,SUBTLE BODY / SOHAM,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   INJURY 30 - SOHAM - Base 9 (336).afdesign
Insomnia,44,12 22 31 35,Combe,SUBTLE BODY / SOHAM,Base 44 Rate (Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   INSOMNIA - SOHAM - Base 44  .afdesign
Insomnia,9,3 6 1 6 7,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   INSOMNIA - SOHAM - Base 9 (336).afdesign
Kidney 30,9,1 3 8 1 4,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   KIDNEY 30 - SOHAM - Base 9 (336).afdesign
Life (Aids) 30,9,1 5 8 1 6,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   LIFE (AIDS) 30 - SOHAM - Base 9 (336).afdesign
Lung & Chest 30,9,8 7 5 4 6,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   LUNG & CHEST 30 - SOHAM - Base 9 (336).afdesign
Male 200,9,2 5 4 4 6,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   MALE 200 - SOHAM - Base 9 (336).afdesign
Pain 30,9,5 3 3 2 4,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   PAIN 30 - SOHAM - Base 9 (336).afdesign
Rheum & Arth 30,9,4 5 9 9 9,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   RHEUM & ARTH 30 - SOHAM - Base 9 (336).afdesign
Sinus 30,9,1 4 6 8 1,Combe,Subtle Body / Soham,Base 9 Rate (336 - Combe),embedded-preview,,,Affinity\Subtle Bodies\Subtle Body  Soham Body\SOHAM   SINUS 30 - SOHAM - Base 9 (336).afdesign
